Country,Date,GDP,Population,Internet Users,Inflation Rate,Unemployment Rate,Education Expenditure,Health Expenditure,Debt to GDP,Exports,Imports,Renewable Energy,Tourist Arrivals,R&D Expenditure,Agriculture Contribution,Manufacturing Contribution,Services Contribution,Political Stability
Argantina,2009-03,9.71648E+11,16447423.38,16951498.23,2.099815348,4.086633399,7.977522199,14.65419351,89.08054175,2.68687E+11,1.33836E+11,11.97178381,3702141.605,3.539983427,17.27016155,18.09016254,76.63310296,1.754642244
Qatar,2016-08,1.92746E+12,38642155.37,35731820.09,1.233696599,9.52106754,7.841983021,7.839209747,71.37547022,3.79945E+11,3.65609E+11,29.86143657,3631640.505,1.054226091,10.38398059,13.57645418,60.99406354,1.220852615
Indonesia,2002-01,1.30175E+12,274161348.3,175772572.2,2.817995709,4.003694549,5.539225085,14.78892858,84.07195071,3.66077E+11,2.43269E+11,13.75196019,57923669.3,3.006772179,17.41918374,14.60370536,64.9758014,0.360020996
Netherlands,2016-01,1.30562E+12,16948905.67,15229563.67,4.300964134,7.981750191,7.718431082,8.307503047,88.69354768,2.80002E+11,3.86551E+11,6.8836564,2142752.77,1.572733093,6.101022281,19.70559749,61.18060601,-0.526542666
South Korea,2021-10,2.00413E+12,48809122.27,44128932.37,3.026861101,4.86917425,3.524981894,7.952905884,72.5785535,5.40582E+11,2.55175E+11,22.72277492,9186120.575,1.889530431,8.975836272,15.12413887,68.34541133,-2.092029098
Qatar,2006-09,1.8185E+12,36838241.02,30646147.02,1.380702963,2.406148248,7.319702894,5.276167719,90.52054269,3.41324E+11,4.26267E+11,13.20381669,3269777.163,3.945522665,16.93973654,27.20809237,57.50754082,-2.305826328
Germany,2014-06,4.05933E+12,81561205.31,76480345.51,0.629257495,9.722014643,4.74359097,13.42023075,63.60660238,7.39898E+11,9.73844E+11,8.45882731,6784779.425,3.908610601,14.57730698,10.82135034,61.96462704,-0.332396312
Egypt,2022-10,8.1014E+11,115089132.6,61411332.34,3.175845237,5.271623555,3.03976592,6.564370427,67.51700287,1.70004E+11,1.96799E+11,21.50493442,13808793.97,3.864595842,15.02004142,21.08708105,68.35162239,-0.401999688
Saudi Arabia,2011-10,1.734E+12,217466337.5,137442006.5,-0.303564157,2.368021136,2.244372814,13.55460584,99.25605016,3.37843E+11,2.07328E+11,17.29039688,36614359.86,1.51960561,9.243181336,17.97009469,68.47550294,0.675468254
Germany,2001-04,3.79938E+12,84044637.3,74005671.91,4.138939047,7.269549053,2.977606562,5.705687474,94.96934947,4.00083E+11,8.25055E+11,28.50575604,16293611.5,2.164509779,13.22247615,19.16505781,66.36850368,2.207324044
Mexico,2002-01,2.1439E+12,133188488.2,81305291.89,-0.583832195,2.806224011,2.109330954,5.944429608,97.81047414,2.44914E+11,3.51161E+11,26.12188277,7434312.895,3.443405448,6.355240721,12.36329655,70.90211496,0.644714234
South Korea,2003-09,1.91758E+12,49888376.32,44803173.92,3.50368851,8.454677914,7.943030852,9.126176769,76.04126601,4.89525E+11,3.22462E+11,28.26893314,13200623.42,2.286982082,15.26655029,25.09085748,53.09371607,2.012764533
Germany,2019-09,3.71208E+12,86282842.8,74246342.69,-0.934974091,9.243055811,2.547720061,8.193136376,116.5043377,1.07695E+12,7.96937E+11,20.7959303,13987430.76,1.879632315,7.244626362,23.45036912,72.57123588,1.457895219
Argantina,2006-05,1.08757E+12,16247849.89,15424269.61,1.649183008,9.101633462,4.105490075,6.170670164,60.00941774,2.74396E+11,2.43227E+11,7.528066903,1154031.185,3.102907394,2.382497121,26.43720119,71.18726681,-2.093256097
China,2004-06,1.67252E+13,1420907568,816646409.7,3.876797404,9.577988619,7.916006383,12.53378185,76.33817099,1.95183E+12,4.2721E+12,18.96010624,221740444.2,3.719063155,3.112752164,19.85250209,50.34060934,-0.15669679
UAE,2019-12,2.20269E+12,61936742.11,39626744.97,3.086236563,3.90005177,4.401337357,9.777148909,55.80239252,4.53036E+11,4.12491E+11,25.05273123,18238832.49,2.668015116,7.131041377,10.86801567,77.73929991,2.095578576
UAE,2003-03,2.14555E+12,57452607.28,32706521.61,0.30085464,4.355951575,7.97498825,11.96925056,76.8941282,5.30852E+11,6.07299E+11,28.96756019,3703738.313,2.183565396,3.028365253,16.7132013,55.09039712,0.734241808
Qatar,2007-10,1.54274E+12,37110564.11,32827366.99,0.559699177,5.625926775,2.193895707,7.797635072,78.78447046,3.40261E+11,2.37878E+11,8.329628131,2562487.974,3.821595481,8.916142097,21.62325242,77.57529656,-2.0862579
United Kingdom,2017-11,2.31519E+12,64779295.43,59388045.88,3.863319985,9.898209035,2.902501347,10.94130715,76.66235996,6.80625E+11,6.21451E+11,25.95821762,10829367.94,2.244458507,6.194734367,11.12750993,75.94167129,1.564505046
Russia,2004-06,2.1674E+12,146234668.2,116164487.3,3.542487212,5.022804394,3.446508994,7.050453285,67.60097077,3.3583E+11,3.06568E+11,26.95551669,34986612.64,1.140689403,6.104777158,10.44369484,64.9449556,-0.118946516
Germany,2002-11,3.69244E+12,85626001.6,82403328.55,-0.46955066,8.334542716,5.539735383,9.80045967,79.43750451,9.48713E+11,8.41406E+11,25.12611669,23614603.58,2.851791136,19.62879178,22.16175699,69.09932965,0.274078043
Mexico,2018-02,1.70014E+12,128179065.5,88042981.7,1.379256694,6.976693602,7.174182252,14.49520624,60.29514367,4.85079E+11,3.37347E+11,11.45610971,21121851.31,3.940097726,10.35974379,16.57503221,69.00202563,-1.299271906
India,2018-09,2.85374E+12,1391697723,681973703.1,3.186005442,3.440538179,6.179008797,9.116612144,111.2022323,5.79444E+11,8.40774E+11,20.04838489,147467444.9,3.465371911,7.556569929,16.95238429,50.95414044,0.243576546
Ghana,2004-09,2.66698E+12,70680677.39,61506657.58,0.98059708,4.572662117,2.553743517,9.811453941,98.1449302,5.39614E+11,3.5043E+11,14.43214913,3579888.39,3.604903321,2.605823146,21.94556165,79.58770988,0.18295323
Netherlands,2021-10,1.20334E+12,17053151.78,16736935.52,-0.625951825,3.181912735,2.798701572,11.87165505,109.1108471,3.00743E+11,1.27668E+11,26.68037453,2362486.822,2.191491498,2.992514164,24.74810412,55.46851635,0.31982546
Japan,2016-07,3.53493E+12,126445228.1,111319629,1.057561186,5.791759531,4.13062582,11.4882284,83.57074712,7.66515E+11,8.74417E+11,18.94355665,24863413.11,2.693375628,8.196679893,16.74893668,76.98942191,0.537776111
Russia,2012-06,1.9387E+12,141189788.5,98758153.48,-0.082845165,3.967661827,2.96408824,6.865670241,69.95666181,2.61093E+11,5.41581E+11,7.005843642,25573402.46,2.231190481,19.66519372,12.24077804,61.93566797,2.347352166
United Kingdom,2003-06,3.36778E+12,67937091.7,66707733.76,3.925168839,7.747658167,5.210220392,9.766194841,108.7007791,4.74909E+11,9.88775E+11,22.77381197,6785334.689,3.208741551,11.06696044,24.14460191,73.03338504,-2.063549102
Ghana,2010-04,2.62697E+12,68638405.06,62832648.26,1.725607833,6.388824944,5.293531879,7.017304623,97.92000835,3.08862E+11,3.35634E+11,5.067772485,5434378.183,2.419498603,12.51593574,25.885789,53.2009775,1.7536373
Japan,2011-02,3.59431E+12,128908930.2,130395421,0.087398397,2.531970139,6.446723896,10.74473113,108.9280144,4.59908E+11,9.31119E+11,10.040683,11719624.64,1.492797394,16.47691968,23.30394441,65.69196274,-0.705847579
South Korea,2012-10,1.63643E+12,52614657.14,49895210.84,1.261666577,5.701438285,3.808267245,12.4760938,85.19042731,2.39643E+11,4.58062E+11,14.59728053,9780444.713,3.719416333,12.86052192,12.33796081,78.19496371,0.638540265
Qatar,2007-10,1.48038E+12,39117295.72,36451578.82,2.200766552,9.151140664,6.731583267,6.516748797,71.82054475,2.21609E+11,3.68302E+11,5.838310868,7529000.619,3.287376057,17.6585471,16.84163497,74.63771914,-1.946841315
India,2003-08,3.02059E+12,1380315792,695659922.7,1.918144892,5.271641417,6.631291884,5.122030723,91.89098908,6.43693E+11,7.34716E+11,19.97573412,354326659.3,3.877224384,7.507960886,14.54701966,62.70790587,-1.060351918
Egypt,2010-12,1.16474E+12,106030278.1,48782353.14,0.536093191,7.808764688,5.557777432,6.022126642,114.3125366,3.00523E+11,1.21837E+11,21.28418027,25745388.6,2.123306109,2.309509248,11.54642131,53.12740898,1.70219816
Egypt,2010-07,8.49124E+11,107094966.4,49965376.22,0.117925277,8.699926312,3.992878476,8.11444264,65.91769346,1.88148E+11,1.49328E+11,23.6062413,10858888.99,3.363369666,12.4707091,12.285346,62.43513753,1.817590703
India,2005-02,2.86021E+12,1377355503,746313843.3,2.522409345,2.262773362,7.476496777,7.482264428,90.43423679,3.80702E+11,3.05402E+11,12.78682928,337622789.6,1.832761518,5.181847068,14.25361569,65.45521047,2.377706578
Ghana,2008-01,2.89487E+12,70452297.72,66689659.41,0.106777229,4.396767294,3.859621558,8.973181155,79.87522337,7.5254E+11,4.91773E+11,16.70579571,14530363.46,2.133177842,16.89473145,21.74907208,58.82134038,1.070295999
India,2017-02,2.93997E+12,1377390137,688283497.2,3.592137686,2.823851835,4.006176868,5.755033638,102.7272355,4.54109E+11,8.2168E+11,18.16446167,344605716.2,3.936794307,16.95598833,27.3398752,62.23953486,0.258612976
Netherlands,2002-08,9.57505E+11,17009363.39,16292745.45,1.035627475,6.555548142,7.324762895,10.56721585,100.4569167,2.49969E+11,2.85093E+11,20.07993505,4281470.017,3.887947956,18.94378479,12.82163698,62.19176925,-0.880049694
India,2017-07,3.05456E+12,1412554837,755452420.8,-0.263338662,9.011552607,5.857553382,12.03946135,113.7436802,6.8713E+11,5.1064E+11,25.62768329,198838003.4,1.102684332,16.78243562,16.9038429,73.2150357,-0.686210527
Russia,2020-12,1.65132E+12,151880935.3,121887994.6,-0.314572444,6.52621296,7.912203873,9.710654527,62.74749972,3.25236E+11,3.34377E+11,23.54217361,34129387.23,2.207650131,5.142439042,22.90108336,62.65111804,-1.838618944
Saudi Arabia,2012-02,1.67242E+12,201789882.3,152957100.7,-0.293493503,6.612131804,3.644331324,10.54178003,95.59942718,4.44777E+11,2.36286E+11,5.274895716,16995027.91,3.700055926,17.60391147,21.94826204,68.01550581,0.825183373
Spain,2006-10,1.84191E+12,46618221.47,36878203.8,2.113506232,2.375727734,2.997700213,12.38033616,55.79590675,4.06381E+11,2.74573E+11,14.73239035,5695508.213,2.067018149,14.6618722,15.94243431,66.99213921,-0.119747989
Saudi Arabia,2014-08,2.16151E+12,216930528.5,143194031.1,-0.81290119,4.098112354,5.570467584,5.514258135,84.7456373,4.74167E+11,3.60645E+11,24.27280509,16627630.27,1.225413345,14.83558637,19.90982632,70.65207189,-0.325863307
Japan,2006-03,4.76992E+12,129772640.1,125388082.4,0.632870823,6.721845335,4.165843382,5.915820733,114.2119503,6.07515E+11,1.3835E+12,16.15014432,12494929.24,2.625702842,17.58597088,24.64449773,74.19683444,0.793916834
Russia,2021-06,2.21755E+12,150848775.3,118007951.2,3.159051269,2.412766453,6.019504787,5.441654377,91.17846299,6.64978E+11,4.68261E+11,16.83025295,19340881.75,1.361567736,14.88944976,13.85198056,53.45846064,-0.391186701
United Kingdom,2017-04,3.22003E+12,66769883.22,66892480.01,-0.777954192,6.770159028,3.380053024,6.205668858,55.38672411,7.70417E+11,5.40885E+11,23.11916929,4429452.972,1.945871013,11.25033456,25.8144633,59.56257509,0.629456882
Brazil,2015-10,2.11723E+12,210251129,146055572.1,4.94204788,2.001900189,3.112837457,8.839638899,115.2812937,2.41376E+11,2.15739E+11,6.317095899,15166644.46,1.11279032,10.11584521,21.61514414,58.15060913,-0.50856308
France,2006-04,2.96754E+12,65249806.88,51743197.82,1.127732946,4.297911933,3.777848723,7.33607751,52.94652327,3.07362E+11,8.82975E+11,15.69432834,9531800.22,3.038941848,5.146823869,28.99922368,73.59035043,-2.052944988
Netherlands,2005-07,1.2553E+12,17756044.44,16581863.57,2.680468335,3.336271569,7.947011757,7.316717014,115.9912242,2.88629E+11,2.78107E+11,17.81721278,1911748.079,1.529584096,5.189237972,13.72876524,73.38753421,-0.749373704
France,2004-06,3.21851E+12,69571365.43,64949975.66,4.969446936,3.391161994,4.377452113,12.58238476,98.72144326,4.20914E+11,8.47004E+11,10.6110143,7371392.539,2.610923269,12.26585876,21.60172416,52.74460512,1.887304313
Egypt,2002-11,8.51806E+11,114276228.9,62345127.93,4.172765704,8.476128598,5.931451884,10.50857371,56.08907319,1.54765E+11,1.48672E+11,11.49384459,26381242.07,2.487627205,2.539878102,14.40366404,70.49776291,-2.119345703
Libia,2016-02,2.70474E+12,66869930.07,58570979.82,3.948085796,4.782473663,6.068096915,10.65731964,68.69197891,7.45767E+11,7.0184E+11,21.46129587,17563081.69,3.601882603,14.45889656,26.74026657,70.92414385,0.900703859
Spain,2005-12,1.36424E+12,48790092.57,42459024.36,-0.824516302,8.606534005,2.773219205,8.351188543,102.0455779,1.80287E+11,3.59604E+11,25.80335445,8629354.055,1.019157615,6.45372453,22.33853837,79.43558534,0.659067635
United States,2001-12,1.68762E+13,341548288.8,281389295.6,0.70005769,2.14742175,4.593444703,13.40121503,77.4505848,2.29347E+12,4.23154E+12,24.72017455,31913714.98,3.312562326,18.99865988,13.32755174,73.12952878,1.042860023
Libia,2021-01,2.23079E+12,64150452.6,59057889.54,4.940890237,7.408418057,4.675749842,11.47573643,91.60771015,3.9423E+11,2.52358E+11,25.53782369,9170844.928,3.45635693,5.797666244,10.0205896,54.7681485,-0.157302916
China,2003-01,1.17723E+13,1489970787,883834047.5,3.955524595,4.386995448,7.039682988,12.7282278,66.10375781,1.48645E+12,3.22102E+12,29.08091634,86158422.59,3.193810201,18.28096571,27.14720184,78.93561417,1.300470392
Australia,2004-03,1.55363E+12,24551856.85,22062315.75,3.475022072,3.602873148,7.208736881,12.1492404,89.39252004,3.01881E+11,3.2416E+11,8.981143457,2477903.821,1.273493471,3.919502725,19.07387269,65.91063181,-2.410690538
Russia,2011-05,2.16641E+12,151778913.3,108095386.2,1.772583745,2.009854681,5.589963591,11.07306448,67.32779689,4.5859E+11,3.14363E+11,9.020636727,32310674.84,1.977776392,12.21501484,18.66493498,79.53054222,-1.752096787
Egypt,2020-02,1.07218E+12,108850995.9,59592653.13,3.331325768,7.255870861,6.542355606,14.52648638,113.5473057,2.62531E+11,2.67866E+11,8.648051851,8239813.697,2.712713506,1.348985102,19.64712763,56.3104874,-0.769917162
Mexico,2007-02,1.68436E+12,128226709,76477312.95,1.103761587,2.26562487,2.471470983,8.969232762,59.29010278,3.59624E+11,4.00697E+11,25.01466748,12827487.23,1.502447747,2.986788966,22.72860499,71.19427179,-2.342069276
Argantina,2005-09,8.94659E+11,17070203.77,16716908.21,4.225814742,7.712695457,6.810368498,8.394501925,107.037758,1.03801E+11,2.49577E+11,18.6898094,4341370.057,2.356954854,13.22797621,20.52805322,71.94768565,-2.09185009
Argantina,2021-12,9.79737E+11,16421225.96,16583719.09,0.315283924,9.806922047,4.021374751,6.821179157,105.2788955,2.27046E+11,1.95594E+11,18.88408877,3773605.025,1.685364224,19.93034441,29.49586324,69.50977059,-1.502287745
Saudi Arabia,2002-06,1.49456E+12,206862877.2,143721544.9,4.209635032,7.817352558,6.456239127,9.254933344,74.21544948,2.60364E+11,4.44676E+11,6.002729785,55182301.35,2.736026226,9.333692965,24.50515321,64.60006824,1.86711619
Argantina,2001-04,1.05587E+12,16620607.26,15911935.51,4.474180074,3.685297512,5.737799501,11.3156022,101.3179116,1.33371E+11,2.56751E+11,27.72581302,1577640.959,1.712629975,19.45650679,13.61953905,75.6315528,-0.038610718
United States,2021-12,2.02022E+13,334075599,302049726.4,2.975727674,2.762092064,5.912739473,8.121480567,77.93321623,5.48686E+12,2.0567E+12,19.71031583,66707712.84,2.189979329,5.503529285,14.69348077,76.51129009,-0.289878131
China,2015-10,1.37132E+13,1463375279,802221267,1.696603011,6.703074969,7.691500129,7.525277821,75.14755235,2.41176E+12,3.03208E+12,13.91830133,268350804.5,3.34537099,14.40232629,18.92737293,75.92648533,0.290701248
Netherlands,2019-02,1.3022E+12,16359050.37,14550600.08,-0.689818977,7.120023735,3.348207062,6.800104375,56.1988909,1.57126E+11,2.82491E+11,22.20519665,2443138.241,2.439691245,14.03338698,10.3475958,59.69391971,2.36548874
Indonesia,2006-08,1.4188E+12,272695511.6,180349528.6,-0.162092471,2.239788719,3.84757965,12.04680763,64.12974165,3.32972E+11,4.17101E+11,7.347517895,59488670.27,2.331250658,17.49470283,13.54299579,70.77877857,1.690576448
Brazil,2010-10,1.48489E+12,206575922.6,154172322.3,4.187653016,8.148154916,2.678658914,12.95510372,114.3074458,3.26857E+11,4.27909E+11,25.67097209,44773860.24,2.73155571,7.622899678,13.1857489,68.14861768,-0.909442232
Qatar,2000-09,2.07139E+12,38959225.5,32549173.29,0.732113573,2.872877054,5.903069887,12.65190865,114.7972382,3.88664E+11,5.80559E+11,26.94727898,5037386.139,3.606701877,8.137772786,15.93738549,69.47223976,-0.858093861
United States,2000-12,2.19226E+13,333099828.5,289368720,2.29099833,6.7718838,5.274121331,9.444194528,51.02669399,4.76624E+12,2.93081E+12,21.06439922,79889357.77,2.501335927,11.30490963,29.02957119,75.41502084,2.07118258
Russia,2011-05,1.78472E+12,146162499.4,111830037.2,2.647430557,8.119066092,6.877914432,12.18123076,116.8866587,1.8498E+11,2.48354E+11,5.189071874,30967255.59,3.694091647,5.626163635,28.5406909,51.80802171,2.172180134
Egypt,2021-03,8.40568E+11,109844589.4,52250616.87,0.709237412,4.458319719,6.818155387,10.39161277,71.79153894,1.86662E+11,2.04452E+11,11.81560002,16848762.28,1.36565828,4.441837641,23.62235708,55.44315043,0.125816918
Australia,2006-08,1.87717E+12,24213071.12,22563033.33,1.547164551,2.696311701,6.894491861,8.73509683,86.85494359,2.2988E+11,1.88687E+11,20.94963014,4329146.815,2.780615707,16.08113316,22.93211827,55.24320328,-0.696137404
Egypt,2009-08,1.10798E+12,110623007.6,52608375.29,0.812363011,7.855664541,7.107045565,11.7142467,106.6670983,2.80685E+11,1.43972E+11,15.59862032,9762032.424,1.705706754,17.51593287,19.45783931,66.06074306,-1.607770174
Brazil,2004-03,1.91882E+12,212989985.1,141100027.8,1.345435975,6.755810681,4.980601153,14.8778552,59.55078268,4.58654E+11,3.47045E+11,15.70499037,48859783.62,3.077308454,19.83386388,12.56788579,53.12328948,1.121694086
United Kingdom,2009-07,3.13861E+12,66401289.04,64230929.01,2.574504369,5.209503312,4.201736475,8.435604748,93.20090484,5.91571E+11,8.36039E+11,21.7400654,4480951.643,2.920504671,6.151801294,21.85623983,70.40395793,-1.345854054
South Korea,2002-06,1.82593E+12,53520110.74,53042343.37,2.346700504,7.845204082,4.791233674,5.601423426,89.36077711,5.32304E+11,2.46611E+11,22.25012227,5364503.854,2.607483053,2.836852543,19.00741873,72.68489987,-0.762142379
France,2011-08,3.03027E+12,69862091.39,56892783.63,1.395895495,3.219328107,7.954901013,14.27000968,87.79699912,8.13344E+11,6.18755E+11,20.5896422,5049709.375,3.265811261,3.426556189,26.52135261,73.46084263,1.043723489
South Korea,2013-04,1.57534E+12,49791874.11,46463097.63,-0.474143519,9.495662584,5.322813444,8.055243107,77.7887062,2.98433E+11,3.46762E+11,17.89198569,13934156.05,2.490890449,19.85100228,27.02849915,56.25531543,2.152976073
Canada,2009-06,1.94968E+12,37546368.52,36750059.84,4.208340141,8.447403201,6.740182618,8.046791391,55.66434981,3.52104E+11,2.62631E+11,22.37377722,5126015.395,3.926830603,13.17846947,26.44961127,53.97574018,1.810072411
Ghana,2003-01,2.95028E+12,69800706.65,61345723.45,2.015396459,5.189304222,2.878243953,8.675344223,54.77206166,3.10258E+11,3.74783E+11,29.07787779,13079422.81,3.897466483,9.217459688,16.23632266,65.18425589,-0.302441557
Germany,2005-11,4.19134E+12,84246669.07,68977497.3,-0.631902237,8.246092689,4.758802543,5.581637955,119.6406422,4.6757E+11,1.00176E+12,29.59197313,9249865.225,1.426748106,3.306313849,16.06550295,53.03137433,0.960806708
India,2000-04,3.0545E+12,1342587455,635399053.1,0.324815779,3.390020765,5.934342035,13.48015885,100.7022229,7.8934E+11,5.52741E+11,21.35189488,186027655.9,2.576513866,10.15106208,13.5377429,61.61236281,2.319111377
United Kingdom,2022-02,2.41547E+12,67446348.23,67081024.7,2.492889379,7.447798618,3.138169089,11.18948193,72.64502764,6.44593E+11,5.45557E+11,9.971406944,4461857.184,1.127899628,8.056762785,15.31702273,69.3827037,-0.003330825
Argantina,2022-05,1.08487E+12,16405082.73,14880051.05,3.424142464,5.808145035,4.255329711,8.944762786,82.16127379,2.78816E+11,3.02047E+11,28.88336716,4047557.925,1.946220687,14.07455942,18.75206248,57.64011866,1.704357897
China,2007-05,1.58207E+13,1438345558,829334473.2,1.700746595,3.815717555,7.336345497,9.506196567,111.7721608,1.9165E+12,4.70912E+12,16.08182719,89116589.89,1.114065545,15.17793789,23.18071068,74.06391674,-1.97316233
Italy,2016-05,1.99683E+12,59325571.39,35913181.14,4.949530453,9.765999661,7.653892338,12.83842677,74.83889522,3.64274E+11,4.19181E+11,25.76336141,3985385.582,2.272890658,2.569735606,20.29315173,76.96702472,1.412424623
South Korea,2007-09,2.03558E+12,51853487.03,44905229.61,0.532480908,4.085706399,2.415525838,14.59826518,83.47787062,5.68258E+11,3.34737E+11,8.130839261,8741669.682,1.341869904,10.23429456,28.40594362,65.62304426,0.582498634
Libia,2001-11,2.21541E+12,64392413.35,56468761.46,-0.429929806,5.00794312,5.300551643,8.886527986,61.4578661,3.42853E+11,6.32862E+11,21.89955689,11205050.03,1.03814467,19.85589261,23.4290987,59.50767432,1.8963433
Brazil,2011-09,1.8724E+12,214884700.2,142027800.2,4.870383673,7.985535248,5.346879353,6.805945982,53.77007449,3.07095E+11,4.69293E+11,11.73328246,39729829.18,3.18384153,3.050930578,23.70596032,52.75612663,2.325648711
Libia,2014-03,2.33133E+12,65943970.36,55729752.46,3.549110066,7.947390289,5.671643032,6.059307126,60.60985601,2.76849E+11,5.0225E+11,26.92846104,10448830.55,1.482544522,11.60280418,26.23504434,72.25136185,1.907253898
Canada,2003-08,1.51822E+12,39443302.65,37024480.64,0.86557358,7.938784405,6.890710307,11.1497824,98.15188769,2.65767E+11,3.15393E+11,18.10397927,10334616.55,3.519891941,16.82092892,10.22063229,72.48636453,1.293381951
India,2019-11,3.19727E+12,1427191911,709359915,2.012301281,2.997712455,4.312255298,11.4336518,104.6279843,4.58622E+11,4.07858E+11,21.57605011,72030334.2,1.535117753,1.552356227,13.33770236,55.4395784,-0.561632026
Argantina,2016-07,1.25318E+12,17017186.51,16710878.79,-0.375175852,3.803510044,6.217660646,5.528039605,84.06183636,2.75541E+11,2.76237E+11,5.573320282,2221202.322,2.909471953,3.830994987,23.90831297,72.37775626,2.409845952
United Kingdom,2020-04,2.84955E+12,67593353.19,59057737.21,0.969156522,5.472154929,2.531602578,7.206119527,91.87577058,7.04216E+11,8.53923E+11,28.32783328,14237951.78,2.26374416,13.08736993,25.71303236,53.55008573,-0.450475552
Canada,2013-12,1.64961E+12,38273114.63,35439909.95,0.106857519,4.897883533,4.007067732,5.261967085,51.69342347,4.39357E+11,2.55053E+11,17.95196916,4771945.262,3.822037735,5.926638418,18.59313625,76.18190751,1.709667834
India,2004-04,3.25107E+12,1374229790,684774426.9,-0.199120166,2.64481211,6.367635842,9.964611524,80.57954918,7.99443E+11,8.22853E+11,8.972704192,278358884.3,1.406062247,15.27612663,23.13910313,78.69843863,-2.155209918
Australia,2011-10,1.53363E+12,24404264.21,19925602.27,4.437527483,3.996369599,3.631698357,12.59398262,81.48178897,3.916E+11,1.73412E+11,17.18927984,1425292.005,1.18795961,18.22231161,12.78490742,65.97262047,-0.444521987
India,2006-06,3.36381E+12,1314011629,678527969.6,4.780366605,6.481345468,7.620934772,5.522578793,79.31553234,5.11405E+11,8.28049E+11,29.53242726,149971452.7,2.962523804,4.763855022,21.30660509,63.9179746,2.360026648
United Kingdom,2011-09,2.47117E+12,64749839.09,63542999.96,1.507939603,2.710721961,6.102524633,10.45105528,118.6361775,3.59511E+11,4.46777E+11,18.56364508,16053103.67,2.64651597,12.64510306,14.52294103,75.40756184,-0.356847265
Australia,2004-02,1.79033E+12,24290226.13,19208243.28,4.17192145,5.681298116,6.495702276,7.905875598,105.0879094,2.19114E+11,3.06496E+11,29.45154545,6036058.746,2.491767791,7.45577196,27.442714,66.34543277,1.292125089
Canada,2019-06,1.39642E+12,36579764.37,34350320.82,-0.030281132,4.043946757,7.679827725,10.60182258,102.5510655,2.95477E+11,2.9395E+11,7.353797753,4971767.871,1.847292696,8.423838947,25.96688376,61.15798004,-0.241515904
Australia,2017-11,1.86521E+12,26161191.63,21165655.35,2.139977787,4.297103665,6.757126514,10.77593366,94.42076923,4.84177E+11,3.34235E+11,27.87725171,4794227.167,1.473864469,14.22208325,25.86522701,59.50285031,1.785896285
Qatar,2002-11,1.57562E+12,39837381.6,33647030.88,0.21209401,3.473798714,7.36393826,11.54292552,60.64729983,2.96318E+11,3.51457E+11,7.086602125,10780158.48,3.410810606,10.5989287,29.34253231,62.53282938,2.420551595
